tele_cluster,n_events,mean_duration_days,median_duration_days,mean_coverage,median_coverage,mean_intensity,median_intensity
0,62,2.5483870967741935,2.0,0.041524221726580365,0.014695974457333758,-1.7855658188455619,-1.5475304250964925
1,103,2.9902912621359223,2.0,0.04831110717370117,0.024559834958101195,-1.992448191279468,-1.9499722461009863
2,66,2.4242424242424243,2.0,0.04814607842370292,0.025629721596575353,-2.1346305033763935,-1.9827023362174567
