season_year,start,end,duration_days,regional_coverage_mean,mean_temp_below_thr,cluster,tele_cluster,msl_anom_event
1940,1940-01-18,1940-01-20,3,0.06017748956128311,-2.8624532824757054,0,,-4.606039602412479
1940,1940-01-24,1940-01-29,6,0.028414917174686624,-2.3030929306328685,0,,3.2767676341108802
1940,1940-02-15,1940-02-15,1,0.0003825137114566385,-1.98333740234375,1,,4.050212670147236
1941,1941-02-05,1941-02-05,1,0.03207620594664939,-1.3603713535385493,1,,-2.721709247344372
1941,1941-02-20,1941-02-21,2,0.021928300144074025,-1.7417930076791053,0,,5.358250352569186
1941,1941-02-28,1941-02-28,1,0.002698253385326593,-1.96360001814234,0,,11.413931114317716
1942,1941-12-21,1941-12-21,1,0.00976554054758727,-4.502396900565743,1,,10.913812273376552
1942,1941-12-30,1941-12-30,1,0.006711610436638136,-0.9611880895795387,1,,8.387951572354618
1942,1942-01-05,1942-01-10,6,0.02585211364658359,-2.488869625776713,0,,7.560768496914001
1942,1942-02-14,1942-02-14,1,0.010756848546438751,-1.2573942240283198,1,,6.273703443152418
1942,1942-02-19,1942-02-24,6,0.05601587053339219,-1.5491735610632873,0,,4.548088339806802
1943,1942-12-21,1942-12-21,1,0.0007553756577948209,-0.5684394836425781,1,,13.559452449417059
1943,1943-01-09,1943-01-10,2,0.0009569713087451267,-0.9760151109252923,1,,-3.9829808698712896
1943,1943-01-19,1943-01-22,4,0.018624441419605002,-3.5795948219355207,0,,5.006282384880853
1943,1943-01-27,1943-01-28,2,0.018793002769480496,-2.1911793242830546,0,,15.861621610809056
1943,1943-02-14,1943-02-18,5,0.015192949501161323,-2.2890794460148753,0,,9.999130213607618
1944,1943-12-16,1943-12-16,1,0.0035672077340658873,-0.7982298376833639,1,,15.948943039248006
1944,1943-12-24,1943-12-24,1,0.0007390025877038306,-1.5386695861816406,1,,11.189607417993063
1945,1945-01-06,1945-01-06,1,0.001443675600578997,-0.7750283905890771,0,,8.6163371617169
1945,1945-01-11,1945-01-11,1,0.01587504601545713,-0.847078456174656,0,,7.083816855990888
1945,1945-01-26,1945-01-27,2,0.03919900467360143,-2.3263258172156354,1,,2.9744394421952562
1945,1945-02-02,1945-02-03,2,0.009361901687272325,-1.2351254487533352,0,,9.220834313158747
1945,1945-02-19,1945-02-19,1,0.004231379252074846,-1.4431833646786612,0,,18.62197896115766
1946,1945-12-19,1945-12-19,1,0.009604150525636781,-0.5708328384931681,0,,3.0834630457149634
1946,1946-01-16,1946-01-16,1,0.05632268307762464,-2.0152802346436824,0,,11.815273576430299
1946,1946-02-03,1946-02-03,1,0.00038727405226059446,-0.2979278564453125,0,,18.323209869291997
1947,1947-01-01,1947-01-01,1,0.006450975088473588,-1.0361224066963945,0,,23.131931360698413
1947,1947-02-06,1947-02-09,4,0.026226889637413424,-1.2106575193638554,0,,-15.471324594371463
1947,1947-02-21,1947-02-23,3,0.005971945393816874,-0.8609778040232641,0,,-5.32721374254641
1948,1948-01-18,1948-01-19,2,0.02731135872994975,-1.1594623252301337,0,,9.763383885035916
1948,1948-01-24,1948-01-26,3,0.06895479710540221,-1.6882740532555005,0,,11.24502545606792
1948,1948-01-28,1948-02-01,5,0.060890375683835464,-3.3012859505733845,0,,9.23756837006343
1948,1948-02-05,1948-02-06,2,0.022885339887844608,-2.219660984110328,0,,8.642113820551405
1948,1948-02-10,1948-02-11,2,0.07266988842518173,-1.8258977490659627,0,,16.583179479613623
1948,1948-02-22,1948-02-22,1,0.057945652256568725,-1.3172424543549992,0,,14.980975845956504
1949,1948-12-26,1948-12-26,1,0.0018292135750114585,-1.055986275902248,0,,15.634802502600781
1950,1950-01-18,1950-01-20,3,0.04577748572637558,-2.482212314171409,0,,6.999778319669452
1950,1950-01-27,1950-01-27,1,0.0028240489237319534,-1.336493541522026,0,,19.81170371295752
1950,1950-02-26,1950-02-28,3,0.01075475195702563,-1.0580564202138187,1,,2.204390725551997
1951,1950-12-29,1950-12-29,1,0.00039506009502567215,-0.032257080078125,1,2,-1.53226740587326
1951,1951-01-08,1951-01-08,1,0.0023299326100796806,-0.4047828009758946,0,2,-0.28487706013367653
1951,1951-01-29,1951-02-03,6,0.1435523607038577,-3.5767230963737138,0,2,10.724243157645148
1951,1951-02-09,1951-02-10,2,0.11678777802480794,-3.4606077817011034,0,2,15.470668390549775
1952,1952-01-30,1952-01-30,1,0.012378685151780918,-0.7177719357126044,0,0,6.106031158227556
1952,1952-02-15,1952-02-15,1,0.0026885045656488806,-0.619883497913454,1,0,8.988958157516093
1954,1954-01-12,1954-01-13,2,0.0015252434366844004,-2.3372991673499777,0,0,9.74557836035744
1954,1954-01-22,1954-01-22,1,0.0003474032306349165,-1.8553009033203123,0,0,20.911888227035664
1955,1955-01-29,1955-02-02,5,0.03064687598012944,-1.9968261541616836,0,1,5.4543407743825725
1955,1955-02-04,1955-02-05,2,0.012206005552253407,-0.7378599736558,1,1,15.180821684758797
1955,1955-02-12,1955-02-13,2,0.028623117609279863,-1.8494664952489173,0,1,11.348620082366168
1956,1955-12-20,1955-12-20,1,0.0007792569238385377,-0.45569433742917687,0,2,18.43806847078133
1956,1955-12-22,1955-12-23,2,0.07444981334279463,-2.123568622868702,1,2,-6.955929452975974
1956,1956-01-22,1956-01-24,3,0.03932845158933395,-1.5049821488532766,0,2,5.27574352202209
1957,1957-01-03,1957-01-03,1,0.0007602160137711234,-0.18060382272233647,1,2,1.3115231730139822
1957,1957-01-14,1957-01-19,6,0.035429291838754665,-1.881028016288792,0,2,3.87358845446149
