cluster,n_events,mean_duration_days,median_duration_days,mean_coverage,median_coverage,mean_intensity,median_intensity
0,202,3.01980198019802,2.0,0.05287729896056589,0.03276174408734054,-2.12196444299742,-2.000886407854352
1,68,1.5,1.0,0.013342632702310269,0.005137078352155808,-1.3699122120520935,-1.0788160327718481
