season_year,ENSO,PDO,AO,NAO,ENSO_lead0,ENSO_lead1,ENSO_lead2,PDO_lead0,PDO_lead1,PDO_lead2,AO_lead0,AO_lead1,AO_lead2,NAO_lead0,NAO_lead1,NAO_lead2
1940,-0.6566666666666667,1.685,,,-0.6566666666666667,-0.9800000000000004,,1.685,1.82,,,,,,,
1941,2.164444444444444,2.736666666666667,,,2.164444444444444,1.4422222222222219,2.081111111111112,2.736666666666667,2.3000000000000003,1.8366666666666667,,,,,,
1942,0.8977777777777778,2.216666666666667,,,0.8977777777777778,1.1755555555555552,0.9477777777777782,2.216666666666667,2.0666666666666664,1.6199999999999999,,,,,,
1943,-1.0022222222222223,-1.0833333333333333,,,-1.0022222222222223,-0.5577777777777779,-0.8522222222222217,-1.0833333333333333,-0.8933333333333334,-0.27666666666666667,,,,,,
1944,0.23111111111111113,1.27,,,0.23111111111111113,0.10888888888888874,-0.41888888888888864,1.27,1.1266666666666667,0.10666666666666669,,,,,,
1945,-0.568888888888889,-0.30333333333333334,,,-0.568888888888889,-0.3911111111111116,-0.15222222222222173,-0.30333333333333334,-0.46,-0.93,,,,,,
1946,-0.6355555555555558,-0.8066666666666666,,,-0.6355555555555558,-0.05777777777777793,0.18111111111111158,-0.8066666666666666,-1.4766666666666666,-1.25,,,,,,
1947,0.06444444444444415,-0.5299999999999999,,,0.06444444444444415,0.34222222222222154,0.41444444444444467,-0.5299999999999999,-1.21,-1.57,,,,,,
1948,-0.13555555555555573,0.12666666666666668,,,-0.13555555555555573,-0.2577777777777784,-0.5188888888888888,0.12666666666666668,0.4366666666666667,0.8099999999999999,,,,,,
1949,-0.1022222222222225,-2.6133333333333333,,,-0.1022222222222225,-0.12444444444444495,-0.45222222222222186,-2.6133333333333333,-1.8633333333333333,-1.5033333333333332,,,,,,
1950,-2.2355555555555555,-1.57,0.2835,0.66,-2.2355555555555555,-1.357777777777778,-1.0188888888888883,-1.57,-1.2066666666666668,-1.4333333333333333,0.2835,-0.06,,0.66,0.92,
1951,-2.035555555555556,-1.2566666666666666,-0.8043333333333332,-0.08000000000000003,-2.035555555555556,-2.257777777777778,-2.2188888888888885,-1.2566666666666666,-1.2333333333333334,-1.4766666666666666,-0.8043333333333332,-0.8426666666666667,-0.9406666666666667,-0.08000000000000003,-0.7333333333333334,-0.47666666666666674
1952,0.5977777777777776,-1.6633333333333333,0.2026666666666667,0.4733333333333334,0.5977777777777776,0.7088888888888887,0.914444444444445,-1.6633333333333333,-1.3166666666666667,-0.6166666666666667,0.2026666666666667,0.762,0.5683333333333334,0.4733333333333334,0.62,0.9333333333333335
1953,0.5644444444444444,-0.48333333333333334,-1.0373333333333334,-0.19666666666666666,0.5644444444444444,0.008888888888888799,-0.3522222222222216,-0.48333333333333334,-0.5066666666666667,-0.7566666666666667,-1.0373333333333334,-1.5846666666666664,-1.385,-0.19666666666666666,-0.41,-0.7633333333333333
1954,-0.20222222222222244,-0.7533333333333333,0.08199999999999999,0.21333333333333335,-0.20222222222222244,-0.19111111111111137,0.414444444444445,-0.7533333333333333,-0.6066666666666666,-0.7233333333333333,0.08199999999999999,0.2603333333333333,0.24499999999999997,0.21333333333333335,0.31333333333333335,0.63
1955,-0.8022222222222221,-0.25,-0.7173333333333334,-0.7566666666666668,-0.8022222222222221,0.3088888888888886,-0.2522222222222223,-0.25,0.36999999999999994,0.4533333333333333,-0.7173333333333334,-0.31266666666666665,0.246,-0.7566666666666668,-0.25,0.5633333333333334
1956,-1.2688888888888892,-2.2466666666666666,-1.2256666666666665,-0.39000000000000007,-1.2688888888888892,-0.9911111111111118,-0.8522222222222219,-2.2466666666666666,-2.3633333333333333,-2.7266666666666666,-1.2256666666666665,-0.9966666666666667,-0.5623333333333334,-0.39000000000000007,-0.4466666666666667,-0.8633333333333333
1957,-0.8022222222222224,-1.3833333333333335,0.18333333333333326,0.4200000000000001,-0.8022222222222224,-0.7244444444444452,-1.0188888888888892,-1.3833333333333335,-1.6733333333333331,-1.79,0.18333333333333326,0.6656666666666666,0.35800000000000004,0.4200000000000001,0.5533333333333333,0.49666666666666665
1958,0.7977777777777776,0.7433333333333333,-0.9460000000000001,-0.49333333333333335,0.7977777777777776,1.0088888888888887,0.6477777777777783,0.7433333333333333,0.9433333333333334,1.24,-0.9460000000000001,-0.6633333333333332,0.11700000000000003,-0.49333333333333335,0.10333333333333332,0.7233333333333333
1959,0.7311111111111108,0.8433333333333333,-0.38533333333333336,-0.29666666666666663,0.7311111111111108,0.17555555555555516,-0.018888888888888584,0.8433333333333333,0.82,0.5666666666666667,-0.38533333333333336,-1.2369999999999999,-0.30933333333333335,-0.29666666666666663,0.023333333333333317,0.36666666666666664
1960,-0.5355555555555558,0.6233333333333334,-1.5793333333333333,-0.9133333333333334,-0.5355555555555558,-0.8911111111111115,-0.9188888888888886,0.6233333333333334,0.8799999999999999,1.1199999999999999,-1.5793333333333333,-1.3123333333333334,-0.5673333333333334,-0.9133333333333334,-0.1466666666666667,0.58
1961,-0.035555555555555486,0.6033333333333334,-0.4093333333333333,0.30666666666666664,-0.035555555555555486,0.04222222222222172,-0.15222222222222234,0.6033333333333334,0.18333333333333335,-0.22666666666666668,-0.4093333333333333,-0.8006666666666667,-0.6943333333333334,0.30666666666666664,-0.013333333333333345,-0.7266666666666667
1962,-0.568888888888889,-1.2,-0.12699999999999997,-0.10666666666666665,-0.568888888888889,-0.6577777777777785,-0.25222222222222196,-1.2,-1.3866666666666667,-1.6466666666666665,-0.12699999999999997,-0.010999999999999973,-0.49166666666666664,-0.10666666666666665,-0.49666666666666676,-0.5299999999999999
1963,0.09777777777777767,0.013333333333333327,-1.9143333333333334,-1.4666666666666668,0.09777777777777767,-0.5577777777777783,-0.6522222222222224,0.013333333333333327,-0.16333333333333333,-0.79,-1.9143333333333334,-1.7113333333333334,-0.613,-1.4666666666666668,-1.2233333333333334,-0.38000000000000006
1964,0.8311111111111108,0.3333333333333333,-0.45599999999999996,-1.4333333333333333,0.8311111111111108,1.2088888888888887,1.5477777777777784,0.3333333333333333,0.09666666666666668,0.09666666666666668,-0.45599999999999996,-0.40399999999999997,-0.17600000000000002,-1.4333333333333333,-1.38,-0.75
1965,-0.43555555555555586,-0.7266666666666666,-1.1253333333333335,-0.6066666666666667,-0.43555555555555586,-0.42444444444444507,-0.7188888888888888,-0.7266666666666666,-0.75,-0.6466666666666666,-1.1253333333333335,-0.5453333333333333,-0.08266666666666665,-0.6066666666666667,-0.09333333333333334,0.19333333333333333
1966,-0.035555555555555785,-0.2833333333333334,-1.5023333333333335,-0.5866666666666666,-0.035555555555555785,0.5088888888888885,0.7811111111111115,-0.2833333333333334,0.016666666666666646,0.34,-1.5023333333333335,-1.47,-0.2613333333333333,-0.5866666666666666,-0.6766666666666666,0.030000000000000027
1967,-0.9022222222222226,-0.2333333333333333,-0.2656666666666667,0.006666666666666654,-0.9022222222222226,-0.4911111111111115,0.24777777777777832,-0.2333333333333333,-0.38666666666666666,-0.5066666666666667,-0.2656666666666667,-0.622,-0.789,0.006666666666666654,-0.07000000000000002,-3.700743415417188e-17
1968,-1.3022222222222226,-0.5066666666666667,-0.9700000000000001,-0.5366666666666667,-1.3022222222222226,-0.7244444444444449,0.14777777777777837,-0.5066666666666667,-0.32333333333333336,-0.12666666666666668,-0.9700000000000001,-0.14066666666666663,0.4286666666666667,-0.5366666666666667,0.09333333333333332,0.07333333333333335
1969,-0.5022222222222226,-0.7399999999999999,-2.288,-1.26,-0.5022222222222226,-0.024444444444444713,0.34777777777777824,-0.7399999999999999,-0.3233333333333333,-0.14666666666666664,-2.288,-1.9776666666666667,-1.3263333333333331,-1.26,-1.0533333333333335,-1.5433333333333332
1970,0.4644444444444442,1.0666666666666667,-1.8643333333333334,-0.38000000000000006,0.4644444444444442,0.40888888888888825,0.1477777777777781,1.0666666666666667,0.9233333333333333,0.8866666666666666,-1.8643333333333334,-1.314,-0.47733333333333333,-0.38000000000000006,-0.9133333333333334,-0.19333333333333333
1971,-1.8022222222222224,-1.2333333333333334,-0.49466666666666664,-0.6966666666666667,-1.8022222222222224,-1.4911111111111115,-1.8855555555555554,-1.2333333333333334,-1.0566666666666666,-1.01,-0.49466666666666664,-0.061333333333333344,0.025666666666666654,-0.6966666666666667,-0.9766666666666666,-0.9066666666666666
1972,-1.4022222222222227,-1.9466666666666665,0.26499999999999996,0.39666666666666667,-1.4022222222222227,-1.0244444444444447,-1.1522222222222218,-1.9466666666666665,-1.7233333333333334,-1.1333333333333335,0.26499999999999996,0.4696666666666667,0.8093333333333333,0.39666666666666667,0.2233333333333333,0.32666666666666666
1973,1.431111111111111,-0.3566666666666667,1.0853333333333335,0.36000000000000004,1.431111111111111,1.242222222222222,1.647777777777778,-0.3566666666666667,-0.18999999999999997,-0.21333333333333335,1.0853333333333335,0.6966666666666667,0.4166666666666667,0.36000000000000004,0.25666666666666665,0.6066666666666667
1974,-1.9688888888888891,-1.0433333333333332,-0.146,0.5066666666666667,-1.9688888888888891,-2.224444444444445,-1.5855555555555554,-1.0433333333333332,-1.0566666666666666,-1.2233333333333334,-0.146,0.017666666666666674,0.052666666666666674,0.5066666666666667,0.24333333333333332,-0.6166666666666667
